,infected_4h_1,infected_4h_2,infected_12h_1,infected_12h_2,infected_24h_1,infected_24h_2,mock_4h_1,mock_4h_2,mock_24h_1,mock_24h_2
ABHD17AP1,0.17,0,0.17,0,0,0,0.22,0,0.06,0.08
ABHD17AP3,0,0.14,0,0,0,0.14,0.17,0.1,0.22,0.1
ABHD17AP4,0,0,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,0,0,0,0,0.07
ABHD17AP6,0,0,0,0,0,0,0,0,0,0
ABHD17AP7,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0
ABHD17B,3.25,2.98,1.48,1.82,1.98,2.33,3.48,2.6,3.73,4.42
ABHD17C,11.64,12.9,4.09,5.14,3.9,4.12,11.94,7.82,12.72,12.43
ABHD18,1.39,1.95,1.1,0.77,0.94,1.13,1.74,0.88,1.72,1.36
ABHD2,53.32,55.48,21.66,18.39,10.19,14.65,61.51,36.84,53.4,53.69
ABHD3,8.82,8.61,4.17,4.62,3.2,3.16,9.6,6.76,6.85,5.9
ABHD4,1.93,1.5,1.15,0.62,0.9,0.88,2.11,1.09,2.87,3.46
ABHD5,6.89,6.67,3.37,3.81,2.13,3.42,8.06,4.68,6.05,5.94
ABHD6,2.38,2.24,0.8,1.12,1.83,0.96,2.89,1.98,1.6,2.32
ABHD8,0.7,0.46,0.13,0.6,0.5,0.47,0.7,0.21,0.78,1.25
ABI1,10.54,11.64,5.61,6.27,5.53,5.44,13.87,10.62,14.05,15.06
ABI1P1,0,0.05,0.06,0,0,0,0,0,0,0
ABI2,3.41,4.96,3.93,2.31,2.53,3.66,4.52,3.92,8.94,9.04
ABI3,0,0,0,0,0,0,0.03,0,0,0.03
ABI3BP,0.68,0.85,0.74,0.31,0.57,0.53,0.94,0.56,0.5,0.91
ABITRAM,3.12,2.93,1.11,1.61,0.87,1.67,4.58,2.78,2.77,3.21
ABITRAMP1,0,0,0,0,0,0,0,0,0,0
ABL1,4.21,5.14,1.57,1.69,3.05,2.45,4.86,2.43,4.73,5.88
ABL2,6.48,9.86,6.04,5.76,9.82,7.67,8.25,4.94,4.07,4.69
ABLIM1,19.71,21.22,6.18,8.66,8.32,8.18,23.27,12.66,23.28,23.55
ABLIM2,0.46,0.03,0,0,0.05,0.19,0.06,0.05,0.07,0.03
ABLIM3,13.37,13.16,4.74,4.38,3.09,3.4,13.87,8.6,10.83,10.57
ABO,0.02,0.03,0.01,0.45,0.02,0.44,0.04,0,0,0.02
ABR,14.53,13.84,6.52,7.12,4.73,4.3,16.42,8.71,11.97,15.68
ABRA,0.07,0.03,0,0.02,0,0,0,0,0.05,0.02
ABRACL,16.45,20.13,8.56,8.64,5.75,7.42,25.24,20.46,21.18,19.21
ABRAXAS1,0.7,0.89,0.4,0.65,0.36,0.39,1.2,0.65,1.31,0.96
ABRAXAS2,2.84,3.51,1.97,1.58,1.52,2.09,3.5,2.32,2.88,3.49
ABT1,7.23,7.15,3.52,3.9,3.56,3.91,8.42,5.83,7.7,6.67
ABT1P1,0.06,0.35,0,0.08,0,0.07,0,0,0.07,0
ABTB1,1.89,2.86,1.23,1.02,1.21,0.85,4.25,2.05,3.32,3.52
ABTB2,2.97,3.22,3.22,3.51,3.35,2.92,3.01,1.8,3.3,3.49
AC000029.1,0,0,0,0,0,0,0,0,0,0
AC000029.2,0,0,0,0,0,0,0,0,0,0
AC000032.1,0.33,0,0,0,0,0,0,0,0.47,0
AC000035.1,0,0,0,0,0,0,0,0,0,0
AC000036.1,0,0,0,0,0,0,0,0,0,0
AC000041.1,1.01,7.41,5.35,0,0,6.46,0,0,4.48,8.27
AC000050.1,0,0,0,0,0,0,0,0,0,0
AC000050.3,0,0,0,0,0,0,0,0,0,0
AC000058.1,0,0,0,0,0,0,0,0,0,0
AC000061.1,0,0.23,0,0,0,0,0.82,0,0,0
AC000065.1,0.38,0.74,0.34,0.61,0.46,0.74,0.33,0.1,0.48,0.76
AC000065.2,0.08,0.4,0.36,0.07,0.1,0.2,0.29,0.17,0.12,0.33
AC000067.1,0,0,0,0,0,0,0,0,0,0
AC000068.1,0.27,0.31,0.2,0.25,0.05,0.29,0.26,0.3,0.32,0.59
AC000068.2,0.27,0.16,0,0.39,0.17,0.16,0.19,0,0.3,0.68
AC000068.3,0,0,1.12,0.79,0,0,0,0.25,0,1.21
AC000072.1,0,0.06,0,0,0,0,0,0,0,0
AC000077.1,0,0,0,0,0.06,0,0,0,0,0
AC000078.1,0.3,0.27,0.11,0.21,0,0,0.31,0.24,0.08,0
AC000081.1,0,0,0,0,0,0,0,0,0,0
AC000081.2,0,0,0,0,0,0,0,0,0,0
AC000082.1,0.11,0.13,0,0,0,0,0.46,0.09,0,0.14
AC000085.1,0.05,0.13,0,0,0.07,0.19,0.08,0.13,0,0.14
AC000089.1,0.06,0.4,0,0.17,0.15,0,0.08,0.05,0,0.15
AC000093.1,0.05,0,0,0.01,0.02,0,0.02,0.02,0.05,0.02
AC000095.1,0,0,0,0,0,0.01,0.06,0,0.08,0.05
AC000095.2,0,0,0,0,0,0,0,0,0,0
AC000095.3,0.12,0.23,0.03,0.03,0.09,0.03,0.2,0,0.22,0.06
AC000111.1,0.97,0,1.3,3.64,0,0,1.25,0,0,1.05
AC000111.2,4.07,1.42,1.8,6.53,0,0,1.73,0,5.12,2.86
AC000113.1,0,0,0,0,0.34,0,0,0,0,0
AC000114.1,0,0,0,0,0,0,0,0,0,0
AC000120.1,0,0,0,0,0,0,0,0,0,0
AC000120.2,0.08,0.06,0.05,0.05,0.1,0.03,0.05,0.07,0.06,0.17
AC000120.3,0,0,0,0,0.07,0.11,0,0,0,0
AC000120.4,0.64,0.41,0.24,0.42,0,0.17,0.43,0.84,0.76,0.52
AC000123.1,0.34,0,1.12,0,0,0.13,0.31,0.38,0.51,0.15
AC000123.2,2.05,3.37,0.96,0.19,0.69,0.47,2.64,1.38,1.37,1.84
AC000123.3,0.66,1.12,0.47,0.34,0.36,0.39,0.85,0.32,0.69,0.93
AC000124.1,0,0,0,0,0,0,0,0,0,0
AC000362.1,0,0,0,0,0,0,0,0,0,0
AC000367.1,0,0,0,0,0.06,0.13,0.07,0,0,0.03
AC000372.1,0,0,0,0,0,0,0,0,0,0
AC000374.1,0,0,0.03,0,0,0,0,0,0,0
AC000403.1,0,0,0,0,0,0,0,0,0,0
AC001226.1,0,0,0,0,0,0,0.15,0,0,0
AC001226.2,0.21,0.07,0.17,0.18,0.05,0.07,0.08,0.1,0.03,0.2
AC002044.1,0,0,0,0,0,0,0,0,0,0
AC002044.2,0.14,0.06,0.13,0.07,0.12,0.05,0,0.04,0.11,0.06
AC002044.3,0,0,0,0,0,0,0,0.08,0,0
AC002056.1,0.14,0.16,0,0.09,0.33,0.07,0.09,0.11,0.19,0.13
AC002056.2,0,0,0,0,0,0,0,0,0,0
AC002057.1,0,0,0,0,0,0,0,0,0,0
AC002057.2,0,0,0,0,0,0.04,0,0,0,0.08
AC002059.1,0,0,0.18,0,0.16,0,0,0,0.14,0.16
AC002059.2,0,0,0,0,0,0,0,0,0,0
AC002059.3,0.03,0.03,0.18,0.11,0.19,0.26,0.14,0,0.12,0.03
AC002064.1,0,0,0,0,0,0,0,0,0,0
AC002064.2,0,0,0,0,0,0,0,0,0,0
AC002064.3,0,0,0,0,0,0,0,0,0,0
AC002064.4,0,0,0,0,0.29,0,0,0,0.26,0.28
AC002066.1,0.21,0.13,0,0,0.09,0,0.8,0.38,0.36,0.09
AC002069.1,0,0,0,0,0,0,0,0,0,0
AC002069.2,0,0,0,0,0,0,0,0,0,0
AC002069.3,0,0,0,0,0.05,0,0,0,0,0
AC002069.4,0,0,0,0,0,0,0,0,0,0
AC002070.1,0.07,0,0,0.21,0,0.17,0,0,0.08,0
AC002072.1,0,0,0,0,0.1,0,0,0,0,0
AC002073.1,0,0,0,0,0,0,0,0,0,0
AC002074.1,0,0,0,0,0,0.05,0,0,0,0
AC002074.2,0,0,0,0,0,0,0,0,0,0
AC002075.1,0,0,0,0,0,0.09,0,0,0.09,0
AC002075.2,0.53,0,0,0,0,0,0,0,0.54,0
AC002076.1,0,0,0,0,0.14,0,0,0,0,0
AC002076.2,0,0,0,0,0,0,0,0,0,0
AC002090.1,0,0,0,0,0,0.02,0,0,0,0
AC002091.1,0,0,0,0,0,0,0,0,0,0
AC002091.2,0,0,0,0,0,0,0,0,0,0
AC002094.1,0.13,0,0,0,0,0.12,0,0,0,0
AC002094.2,0,0,0,0,0,0,0,0,0,0
AC002094.3,0.06,0,0,0.13,0,0.06,0,0,0,0.18
AC002094.4,0,0.35,0,0,0,0,0,0,0,0
AC002094.5,0,0.1,0,0,0,0,0,0,0,0
AC002101.1,0,0,0,0,0,0,0,0,0,0
AC002115.1,0,0,0,0,0,0,0,0,0,0
AC002116.1,0,0,0.11,0.1,0,0,0.18,0.09,0,0
AC002116.2,0.24,0.29,0,0.11,0.21,0.56,0.91,0.59,0.55,1.02
AC002127.1,0,0,0,0,0,0,0,0,0,0
AC002128.1,0.84,1.96,0.5,0.95,0.51,0.56,1.19,1.09,0.91,1.01
AC002128.2,1.38,0.61,1.09,0.61,0.22,0.69,1.08,0.35,0.49,1.08
AC002306.1,0,0.12,0,0,0,0,0,0,0,0
AC002310.1,0.71,0.74,0.27,0.28,0.34,0.24,0.45,0.32,0.81,0.62
AC002310.2,0.12,0.25,0,0.19,0,0.2,0.18,0,0,0.37
AC002310.3,0.07,0,0.1,0,0,0,0,0,0,0.09
AC002310.4,0.65,0.37,0,0,0.11,0,0,0,0,0.39
AC002310.5,0.28,0.22,0.35,0.04,0.2,0.14,0.39,0.43,0.28,0.35
AC002331.1,0,0,0,0,0,0,0,0,0,0
AC002347.1,0,0.12,0,0,0,0.12,0,0,0,0.13
AC002347.2,0,0,0,0,0,0,0,0,0,0
AC002350.1,0,0,0,0,0,0,0,0,0,0
AC002350.2,0.38,0.27,0.38,0.41,0.4,0.38,0.35,0.31,0.64,0.54
AC002351.1,0,0,0,0,0,0,0,0,0,0
AC002359.1,0,0,0,0,0,0,0,0,0,0
AC002365.1,0,0,0,0,0,0,0,0,0,0
AC002366.1,0,0,0,0,0,0,0,0,0,0
AC002368.1,0,0,0,0,0,0,0,0,0,0
AC002375.1,0,0,0,0,0,0,0,0,0,0
AC002377.1,0.08,0.31,0.12,0,0.33,0.29,0.18,0.14,0.1,0.22
AC002378.1,0.04,0,0,0.03,0.09,0,0,0.02,0.04,0
AC002381.1,0,0,0,0.53,0,0,0,0,0,0.45
AC002383.1,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,0.21,0,0,0,0,0,0,0,0
AC002395.1,0,0,0,0,0,0,0,0,0,0
AC002398.1,0.16,0.29,0,0,0,0.18,0.36,0.25,0.24,0.19
AC002398.2,0,0,0,0,0.2,0,0,0.06,0,0
AC002401.1,0,0,0,0,0,0,0,0,0,0
AC002401.2,0.15,0,0,0,0,0,0,0,0,0
AC002401.3,0.3,0,0.21,0,0,0,0.41,0,0,1.28
AC002401.4,1.5,0.89,0.4,0.4,0.24,0.11,0.78,0.45,0.11,0.23
AC002407.1,0,0,0,0,0,0,0,0,0,0
AC002407.2,0.02,0.01,0.04,0.06,0.01,0.05,0.08,0.03,0,0.06
AC002416.1,0,0,0,0,0,0,0,0,0,0
AC002428.1,0,0,0,0,0,0,0,0,0,0
AC002428.2,0,0,0,0,0,0,0,0,0,0
AC002429.1,0,0,0,0,0,0,0,0,0,0
AC002451.1,0,0.04,0.03,0,0,0.1,0.04,0,0.59,0.37
AC002451.2,0,0.02,0,0,0,0,0,0,0,0.02
AC002456.1,0.28,0.36,0.39,0.39,0.2,0.03,0.41,0.2,0.03,0.06
AC002456.2,0,0,0,0,0,0,0,0,0,0
AC002458.1,0,0.05,0,0.03,0,0.02,0.03,0,0,0.05
AC002460.1,0,0,0,0,0,0,0,0,0,0
AC002460.2,0.02,0,0,0.02,0,0,0,0,0.06,0
AC002461.1,0,0,0,0,0,0,0,0,0,0
AC002463.1,0,0,0,0,0,0.15,0,0,0,0
AC002464.1,0,0,0,0,0,0,0,0,0,0
AC002465.1,0,0,0,0,0,0,0,0,0,0
AC002467.1,0.41,0.85,0.11,0.24,0.13,0.27,0.34,0.51,0.49,0.59
AC002470.1,0.36,0.21,0,0,0,0,0.99,0.28,0.4,0.66
AC002470.2,0,0,0,0,0,0,0,0,0,0
AC002472.1,0,0,0,0,0,0,0,0,0,0
AC002472.2,0,0,0,0,0,0,0,0,0,0
AC002472.3,0,0,0,0,0,0,0,0,0,0
AC002472.4,0,0,0,0,0,0,0,0,0,0
AC002480.1,1.46,1.93,1.72,1.26,2.67,2.42,1.8,1.28,1.4,1.27
AC002480.2,0.86,0.68,0.36,1.14,0.75,0.89,1.23,0.51,0.78,0.85
AC002486.1,0,0,0.26,0,0,0,0,0,0,0
AC002486.2,0,0,0,0,0,0,0,0,0,0
AC002487.1,0,0,0,0,0,0,0.06,0,0,0
AC002504.1,0,0,0,0,0,0,0,0,0,0
AC002511.1,0,0,0,0,0,0,0,0,0,0
AC002511.2,0,0,0,0,0.18,0,0,0,0,0
AC002511.3,0,0,0,0,0,0,0,0,0,0
AC002519.1,0,0.02,0.02,0,0.02,0.03,0,0,0.02,0
AC002519.2,0,0,0,0,0,0,0,0,0,0
AC002524.1,0,0,0,0,0,0,0.14,0,0,0
AC002525.1,0,0,0,0,0,0,0.14,0.02,0.12,0.03
AC002529.1,0,0,0,0,0,0,0,0,0,0
AC002540.1,0,0,0,0.04,0,0,0.13,0.03,0.11,0.04
AC002542.1,0,0,0,0,0,0,0,0,0,0
AC002542.2,0,0,0,0,0,0,0,0,0,0
AC002542.3,0,0,0,0,0,0,0,0,0,0
AC002542.4,0,0,0,0,0,0,0,0,0,0
AC002542.5,0,0,0,0,0,0,0,0,0,0
AC002542.6,0.08,0.05,0.06,0.12,0,0.05,0,0,0,0
AC002543.1,0.05,0.22,0.12,0.09,0.13,0.45,0.12,0.02,0.12,0.58
AC002543.2,0,0,0,0,0,0,0,0,0,0
AC002545.1,0,0,0,0,0,0,0,0,0,0
AC002546.1,0,0,0,0,0,0,0,0,0,0
AC002550.1,0.28,0.64,0,0,0.3,0.08,0.69,0,0.85,1.01
AC002550.2,0,0,0.25,0,0,0,0,0.28,0.2,0.22
AC002551.1,0.09,0.22,0.13,0,0,0,0,0,0,0
AC002553.1,0.12,0.29,0.17,0.09,0.08,0.21,0,0.2,0.07,0.46
AC002553.2,0,0,0,0,0,0,0.71,0.2,0,0
AC002558.1,0.06,0.29,0,0.34,0.15,0.21,0.34,0.05,0.14,0.53
AC002558.2,0.23,0,0,0,0,0,0.32,0.12,0.35,0.29
AC002558.3,0.3,0.38,0.24,0.15,0.39,0.78,0.25,0.13,0.56,0.22
AC002563.1,0,0.17,0,0,0,0,0,0,0,0
AC002980.1,0,0,0,0,0,0,0,0,0,0
AC002981.1,0,0,0,0,0,0,0,0,0,0
AC002984.1,0,0,0,0,0,0,0,0,0,0
AC002985.1,0,0,0,0,0,0,0,0,0,0
AC002996.1,1.32,1.28,0,0.18,0.62,1.17,0,3.19,1.47,0.75
AC003001.1,0,0,0,0,0,0.07,0,0,0,0
AC003001.2,0,0,0,0,0,0,0,0,0,0
AC003002.1,0,0,0,0,0,0.22,0,0,0,0
AC003002.2,0,0,0,0,0,0.68,0,0,0,0
AC003002.3,0,1,0.14,0,0,0.16,0,0.12,0,0.14
AC003005.1,0.04,0.29,0.07,0.14,0.08,0.03,0.1,0.1,0.13,0.17
AC003005.2,0,0,0,0,0,0,0,0,0,0
AC003006.1,0,0,0.15,0.87,0.48,0.2,0,0.04,0,0.07
AC003009.1,0,0,0,0,0,0,0,0,0,0
AC003035.1,0,0,0,0,0,0,0,0,0,0
AC003035.2,0,0,0,0,0,0,0,0,0,0
AC003043.1,0,0,0,0,0,0,0,0.03,0,0
AC003043.2,0,0,0,0,0,0,0,0,0,0
AC003043.3,0,0,0,0,0,0,0.01,0.01,0,0
AC003044.1,0,0,0,0,0,0,0,0,0,0.07
AC003070.1,0.56,0.98,0.78,0.41,1.39,0.32,0.77,0.11,0.77,0.51
AC003070.2,0,0,0,0,0.23,0,0,0,0,0
AC003070.7,0,0,0,0,0,0,0,0,0,0
AC003071.1,0,0,0,0,0,0,0,0,0,0.35
AC003072.1,0.17,0.31,0,0,0,0,0.37,0.07,0.39,0.11
AC003072.2,0,0,0,0,0,0,0,0,0,0
AC003077.1,0,0,0.03,0,0.02,0,0.1,0,0,0
AC003080.1,0,0,0,0,0,0,0.36,0,0.07,0.08
AC003084.1,0,0,0,0,0,0,0,0,0,0
AC003086.1,0.1,0.17,0,0,0.06,0.06,0,0.04,0.28,0
AC003087.1,0,0,0,0,0,0,0,0,0,0
AC003092.1,0,0.1,0.12,0,0.1,0.28,0,0,0,0
AC003092.2,0,0,0,0,0,0,0,0,0,0
AC003093.1,0.06,0.39,0.18,0.14,0,0.04,0.23,0.05,0.11,0.16
AC003098.1,0,0,0,0,0,0,0,0,0,0
AC003101.1,0,0,0,0.19,0,0,0,0,0,0.34
AC003101.2,0.44,0.69,0,0.41,0.74,0.17,0.61,0.23,0,1.27
AC003101.3,0.24,0.53,0,0,0,0,0.61,0,0,0.13
AC003102.1,0.09,0.03,0.03,0,0,0.22,0.1,0.02,0.1,0.12
AC003109.1,0,0,0,0,0,0,0,0,0,0
AC003657.1,0,0,0,0,0,0,0,0,0,0
AC003657.2,0,0,0,0,0,0,0,0,0,0
AC003659.1,0,0,0,0,0,0,0,0,0,0
AC003666.1,0,0,0,0,0,0.1,0,0,0,0
